system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,agbd,bsi,class,dem,evi,mndwi,ndbi,ndvi,slope,.geo
26,0.02148162358107002,0.11814015624748253,0.04869944736149985,0.02207105123648674,0.04023967833145944,0.021099658933937542,0.073238516835582,0.1780021982694633,0.20586588939777184,0.21312200064674283,0.22522087927865894,0.22933204651908023,166.749374,-0.25563690018726865,1,1245.0596,0.40819920888023864,-0.49541974,-0.2868688,0.8218695,17.11409,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.0353622990539231,0.18104496249458862,0.08480989114304405,0.031887184246807754,0.04833906202296219,0.03325989924804563,0.08157982816607624,0.19613980037142748,0.2378340498647288,0.24615133458259378,0.26926209644055576,0.2657077077233909,327.087372,-0.16457763170999978,1,237.06369,0.43851878162073094,-0.5833364,-0.18664299,0.7743177,19.719679,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.03616667918848143,0.17476441227383785,0.08047506598211754,0.03452436869651284,0.05050577650665558,0.03493113393469235,0.08485898448881572,0.2071144512313146,0.25033003402742904,0.2614244835017347,0.2835081404930771,0.2805012693681605,144.48827459880764,-0.2058548560206606,1,209.55914,0.4651441961663048,-0.57008934,-0.23719187,0.77446425,12.121899,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.041303577891401766,0.1922293991810909,0.0863973701235172,0.04670597365336747,0.06818635566921,0.03981965080125889,0.11196025022554651,0.2922238327601588,0.3547902044017668,0.362655733500477,0.3835002427753509,0.36759227192402993,135.392258,-0.26496418097093216,1,768.56537,0.6330429954022256,-0.46726722,-0.29981944,0.79989475,31.06485,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.020707522500292643,0.12607626991132975,0.05627903954997901,0.022028713277258888,0.0368359041143683,0.021292583474189088,0.0640356163261288,0.18536622521891213,0.22834823221418996,0.23519611911825244,0.2510562801025459,0.24765720812611824,338.875763,-0.26258069566988995,1,1163.7682,0.44360459255066353,-0.55096495,-0.2936877,0.8337922,10.9277935,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.038173023585919126,0.20396233017932835,0.10385426946753143,0.04032593345507917,0.05898252658287069,0.046730248017929334,0.10193442050583285,0.2139123024929165,0.2506023576554517,0.25824859824167723,0.28680545919559086,0.2892469934126301,48.330787658691406,-0.14856268427004482,1,176.11691,0.44793532072186093,-0.57773715,-0.1693232,0.70189226,23.55293,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.03811401071299091,0.1906894384821807,0.09009755805689443,0.03460118671271867,0.05220195224005681,0.034296244737395565,0.08877110560893975,0.2519709074297348,0.3100174483304902,0.3174265674644914,0.34034041193817965,0.3442897530423438,90.389893,-0.22768362153321808,1,416.6299,0.5542530084960473,-0.57478595,-0.25867826,0.798797,10.762468,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.028780598797488843,0.12524044717699948,0.054871629799011376,0.029931615752257813,0.0442610339087644,0.02525611765143843,0.07258826939288396,0.19632670701865737,0.24337449954937196,0.249554276940665,0.2665510676392122,0.27570342218401184,258.45582954497627,-0.2868993675385752,1,962.82275,0.4669835019025482,-0.46903577,-0.32440838,0.8126807,26.12784,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.04889108415029187,0.20448087953051655,0.0978706783017411,0.04421075072872488,0.06347376898167535,0.043547485195083335,0.10419810257921105,0.2771391897027486,0.33857959586740854,0.339071123774298,0.3739003164417464,0.36457352363951884,198.54129028320312,-0.22106172492953657,1,384.1494,0.590987120374039,-0.53788215,-0.24976401,0.7764371,20.09238,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.039007738091399756,0.161785146665881,0.07220493132281627,0.03648991479874846,0.05374245773002014,0.031026162988158003,0.08765985200773142,0.24535188435344044,0.3028549426217154,0.3034910140036751,0.329201066867416,0.31614472628530227,224.611877,-0.2719487801179704,1,552.7729,0.5491123687721157,-0.50257635,-0.30299607,0.8150285,27.19491,"{""type"":""MultiPoint"",""coordinates"":[]}"
